----------------------------------------------------------------------
Marvellous Process Log
Log file created at : Sun Jun  2 09:48:10 2024
----------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 13732, 'name': 'svchost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 13876, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14016, 'name': 'conhost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14060, 'name': 'SecurityHealthSystray.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14132, 'name': 'dllhost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14268, 'name': 'AsusSystemAnalysis.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14292, 'name': 'RuntimeBroker.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14308, 'name': 'conhost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14332, 'name': 'conhost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14404, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14424, 'name': 'svchost.exe', 'username': None} 
{'pid': 14588, 'name': 'svchost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14652, 'name': 'msedgewebview2.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14680, 'name': 'svchost.exe', 'username': None} 
{'pid': 14704, 'name': 'WhatsApp.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14764, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 14888, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 15104, 'name': 'OfficeClickToRun.exe', 'username': None} 
{'pid': 15180, 'name': 'Zoom.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 15488, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 15508, 'name': 'RtkAudUService64.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 15552, 'name': 'python.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 15876, 'name': 'LocationNotificationWindows.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 15920, 'name': 'git.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 16000, 'name': 'svchost.exe', 'username': None} 
{'pid': 16056, 'name': 'conhost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 16200, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 16212, 'name': 'SecurityHealthService.exe', 'username': None} 
{'pid': 16228, 'name': 'FileCoAuth.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 16268, 'name': 'svchost.exe', 'username': None} 
{'pid': 16320, 'name': 'ApplicationFrameHost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 16620, 'name': 'svchost.exe', 'username': None} 
{'pid': 16652, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 16832, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 17160, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 17312, 'name': 'WindowsTerminal.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 17348, 'name': 'svchost.exe', 'username': None} 
{'pid': 17404, 'name': 'RuntimeBroker.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 17492, 'name': 'msedgewebview2.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 17532, 'name': 'svchost.exe', 'username': None} 
{'pid': 17752, 'name': 'RuntimeBroker.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 17896, 'name': 'git.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 18268, 'name': 'powershell.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 18272, 'name': 'svchost.exe', 'username': None} 
{'pid': 18388, 'name': 'asus_framework.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 18464, 'name': 'dllhost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 18528, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 18596, 'name': 'svchost.exe', 'username': None} 
{'pid': 19508, 'name': 'msedgewebview2.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 19804, 'name': 'powershell.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 19976, 'name': 'svchost.exe', 'username': None} 
CONTENTS OF LOG FILE

----------------------------------------------------------------------
----------------------------------------------------------------------
Marvellous Process Log
Log file created at : Sun Jun  2 09:49:38 2024
----------------------------------------------------------------------
{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'} 
{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'name': 'System'} 
{'username': None, 'pid': 140, 'name': ''} 
{'username': None, 'pid': 176, 'name': 'Registry'} 
{'username': None, 'pid': 640, 'name': 'smss.exe'} 
{'username': None, 'pid': 664, 'name': 'csrss.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 728, 'name': 'Code.exe'} 
{'username': None, 'pid': 1100, 'name': 'wininit.exe'} 
{'username': None, 'pid': 1108, 'name': 'csrss.exe'} 
{'username': None, 'pid': 1172, 'name': 'services.exe'} 
{'username': None, 'pid': 1192, 'name': 'LsaIso.exe'} 
{'username': None, 'pid': 1208, 'name': 'lsass.exe'} 
{'username': None, 'pid': 1220, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1280, 'name': 'IntelCpHDCPSvc.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 1316, 'name': 'msedgewebview2.exe'} 
{'username': None, 'pid': 1332, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1360, 'name': 'WUDFHost.exe'} 
{'username': None, 'pid': 1380, 'name': 'fontdrvhost.exe'} 
{'username': None, 'pid': 1468, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1516, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1568, 'name': 'WUDFHost.exe'} 
{'username': None, 'pid': 1636, 'name': 'winlogon.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 1652, 'name': 'OneDrive.exe'} 
{'username': None, 'pid': 1688, 'name': 'fontdrvhost.exe'} 
{'username': None, 'pid': 1728, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1776, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1788, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1852, 'name': 'dwm.exe'} 
{'username': None, 'pid': 1876, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1892, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1964, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1972, 'name': 'svchost.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 1996, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2108, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2220, 'name': 'svchost.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 2324, 'name': 'ACCIMonitor.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 2328, 'name': 'ArmouryCrate.UserSessionHelper.exe'} 
{'username': None, 'pid': 2376, 'name': 'NVDisplay.Container.exe'} 
{'username': None, 'pid': 2416, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2424, 'name': 'igfxCUIServiceN.exe'} 
{'username': None, 'pid': 2444, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2484, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2608, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2656, 'name': 'svchost.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 2668, 'name': 'conhost.exe'} 
{'username': None, 'pid': 2752, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2884, 'name': 'NVDisplay.Container.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 2912, 'name': 'AsusSoftwareManagerAgent.exe'} 
{'username': None, 'pid': 2948, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2956, 'name': 'AsusCertService.exe'} 
{'username': None, 'pid': 3012, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3048, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3056, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3064, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3120, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3128, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3172, 'name': 'MemCompression'} 
{'username': None, 'pid': 3276, 'name': 'svchost.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 3304, 'name': 'StartMenuExperienceHost.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 3320, 'name': 'Widgets.exe'} 
{'username': None, 'pid': 3476, 'name': 'svchost.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 3484, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3576, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3612, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3652, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3692, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3792, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3840, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3868, 'name': 'AsusOptimization.exe'} 
{'username': None, 'pid': 3876, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3972, 'name': 'WmiPrvSE.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 3988, 'name': 'RuntimeBroker.exe'} 
{'username': None, 'pid': 4080, 'name': 'spoolsv.exe'} 
{'username': None, 'pid': 4108, 'name': 'wlanext.exe'} 
{'username': None, 'pid': 4124, 'name': 'conhost.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 4144, 'name': 'msedgewebview2.exe'} 
{'username': None, 'pid': 4208, 'name': 'asus_framework.exe'} 
{'username': None, 'pid': 4260, 'name': 'svchost.exe'} 
{'username': None, 'pid': 4332, 'name': 'svchost.exe'} 
{'username': None, 'pid': 4452, 'name': 'AsusAppService.exe'} 
{'username': None, 'pid': 4460, 'name': 'ArmouryCrateControlInterface.exe'} 
{'username': None, 'pid': 4468, 'name': 'AsusSoftwareManager.exe'} 
{'username': None, 'pid': 4476, 'name': 'OneApp.IGCC.WinService.exe'} 
{'username': None, 'pid': 4484, 'name': 'svchost.exe'} 
{'username': None, 'pid': 4492, 'name': 'AsusSystemDiagnosis.exe'} 
{'username': None, 'pid': 4500, 'name': 'AuraWallpaperService.exe'} 
{'username': None, 'pid': 4512, 'name': 'svchost.exe'} 
{'username': None, 'pid': 4524, 'name': 'svchost.exe'} 
{'username': None, 'pid': 4536, 'name': 'svchost.exe'} 
{'username': None, 'pid': 4540, 'name': 'DtsApo4Service.exe'} 
{'username': None, 'pid': 4556, 'name': 'AsusSwitch.exe'} 
{'username': None, 'pid': 4564, 'name': 'ArmouryCrate.Service.exe'} 
{'username': None, 'pid': 4572, 'name': 'svchost.exe'} 
{'username': None, 'pid': 4588, 'name': 'IntelAudioService.exe'} 
{'username': None, 'pid': 4596, 'name': 'svchost.exe'} 
{'username': None, 'pid': 4604, 'name': 'GameSDK.exe'} 
{'username': None, 'pid': 4608, 'name': 'AnyDesk.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 4632, 'name': 'msedge.exe'} 
{'username': None, 'pid': 4660, 'name': 'esif_uf.exe'} 
{'username': None, 'pid': 4740, 'name': 'AsusSystemAnalysis.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 4768, 'name': 'CptHost.exe'} 
{'username': None, 'pid': 4840, 'name': 'svchost.exe'} 
{'username': None, 'pid': 4876, 'name': 'svchost.exe'} 
{'username': None, 'pid': 4904, 'name': 'LightingService.exe'} 
{'username': None, 'pid': 4932, 'name': 'servicehost.exe'} 
{'username': None, 'pid': 4956, 'name': 'mongod.exe'} 
{'username': None, 'pid': 4988, 'name': 'mc-fw-host.exe'} 
{'username': None, 'pid': 5004, 'name': 'ROGLiveService.exe'} 
{'username': None, 'pid': 5012, 'name': 'RtkAudUService64.exe'} 
{'username': None, 'pid': 5040, 'name': 'RstMwService.exe'} 
{'username': None, 'pid': 5056, 'name': 'TbtP2pShortcutService.exe'} 
{'username': None, 'pid': 5064, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5072, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5080, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5088, 'name': 'WMIRegistrationService.exe'} 
{'username': None, 'pid': 5132, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5444, 'name': 'jhi_service.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 5484, 'name': 'Code.exe'} 
{'username': None, 'pid': 5712, 'name': 'svchost.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 5756, 'name': 'SearchHost.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 5852, 'name': 'cmd.exe'} 
{'username': None, 'pid': 5856, 'name': 'dasHost.exe'} 
{'username': None, 'pid': 6096, 'name': 'svchost.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 6488, 'name': 'msedgewebview2.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 6516, 'name': 'Code.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 6836, 'name': 'msedge.exe'} 
{'username': 'MAHESH\\mahes', 'pid': 6940, 'name': 'SystemSettings.exe'} 
